racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,result_bin
-1.0,0.22778656408149725,0.95,-0.011400000000000006,0.1414,0.08027999999999999,0.03314325552546903,0.06030878414244201,0.13187851801065711,-0.9236,0.011400000000000006,-0.9509,-0.1,0
-1.0,0.22778656408149725,0.95,-0.011400000000000006,0.1414,0.08027999999999999,0.03314325552546903,0.06030878414244201,0.13187851801065711,-0.9236,0.011400000000000006,-0.9509,-0.1,0
-1.0,0.17704084950045562,0.95,-0.022199999999999987,0.13219999999999998,0.07043999999999999,0.020484913516468344,0.05946671218446964,0.1309595504221535,-0.9228000000000001,0.022199999999999987,-0.9507,-0.1,0
-1.0,0.22704084950045567,0.95,-0.022199999999999987,0.13219999999999998,0.07043999999999999,0.03298491351646835,0.05946671218446964,0.1309595504221535,-0.9228000000000001,0.022199999999999987,-0.9507,-0.1,0
1.0,0.22704084950045567,0.95,-0.022199999999999987,0.13219999999999998,0.07043999999999999,0.03298491351646835,0.05946671218446964,0.1309595504221535,-0.9228000000000001,0.022199999999999987,-0.9507,0.1,0
-1.0,0.22778656408149725,0.95,-0.011400000000000006,0.1414,0.08027999999999999,0.03314325552546903,0.06030878414244201,0.13187851801065711,-0.9236,0.011400000000000006,-0.9509,-0.1,0
-2.0,0.3214137239212687,0.9550000000000001,-0.418,-0.3495999999999999,-0.37695999999999996,0.032540844463821765,0.057157036126093574,0.1762199178477579,-0.6162000000000001,0.418,-0.84405,-0.2,0
-2.0,0.32048255186104546,0.9550000000000001,-0.41240000000000004,-0.3459999999999999,-0.37256,0.032492467978063065,0.05690995532967347,0.17517990887514406,-0.6208,0.41240000000000004,-0.8452,-0.2,0
-2.0,0.31992410416245737,0.9550000000000001,-0.409,-0.34379999999999994,-0.36988,0.03246455561354558,0.056767793047820536,0.1745569996411603,-0.6236,0.409,-0.8459,-0.2,0
-2.0,0.32190951696551695,0.9550000000000001,-0.42100000000000004,-0.35159999999999997,-0.37936000000000003,0.0325652457665775,0.057281998404161594,0.17677281577955448,-0.6137,0.42100000000000004,-0.843425,-0.2,1
-2.0,0.1341067330102647,0.9550000000000001,-0.06879999999999996,0.0021999999999999884,-0.026199999999999994,0.016327281799078684,0.0064777448959355555,0.025420671408063134,-0.9645,0.06879999999999996,-0.931125,-0.2,0
-1.0,0.3165083913074544,0.9550000000000001,-0.401,-0.3386,-0.36356,0.03239887435815526,0.056434414262946264,0.17308968471530561,-0.6302,0.401,-0.87755,-0.1,0
-3.0,0.18809504945748393,0.9524999999999999,-0.059200000000000016,-0.2208,-0.15616,0.020287940552164825,0.058432879466923104,0.13953122278536984,-0.86,0.059200000000000016,-0.875,-0.3,0
-3.0,0.2861451501965067,0.9524999999999999,0.5828,0.17,0.33512,0.017356453208990808,0.008445642281779464,0.08449878832894954,-0.19199999999999995,0.5828,-0.708,-0.3,1
-3.0,0.18669087227322556,0.9524999999999999,-0.04900000000000006,-0.21540000000000006,-0.14884000000000006,0.0202380471894912,0.05817338766793101,0.1379774721299085,-0.8677999999999999,0.04900000000000006,-0.87695,-0.3,0
-3.0,0.18705246566664147,0.9524999999999999,-0.051599999999999965,-0.21680000000000008,-0.15072000000000002,0.02025112505184203,0.0582413123626917,0.1383777231525884,-0.8658,0.051599999999999965,-0.87645,-0.3,0
1.0,0.1794910654337581,0.95,-0.02760000000000005,-0.20420000000000002,-0.13356,0.020137064253281278,0.05765109441752436,0.13475268762525386,-0.8841,0.02760000000000005,-0.941025,0.1,0
